state,miRNA,gene,n_clusters,coverage,regions
Tn,mmu-miR-466i-5p,Nras,1,7.27224362276208,3' UTR
Tn,mmu-miR-142a-5p,Hipk1,1,10.6263741260711,3' UTR
Tn,mmu-miR-466i-5p,Ptpn22,2,6.99333333333333,"CDS,intron"
Tn,mmu-miR-16-5p,Stxbp3,1,9.38091085271318,3' UTR
Tn,mmu-miR-466i-5p,Stxbp3,1,12.4027203792994,intron
Tn,mmu-miR-466i-5p,Lef1,9,69.9580474558873,"5' UTR,intron"
Tn,mmu-miR-466i-5p,Ppp3ca,1,9.19433498778434,intron
Tn,mmu-miR-466i-5p,Miga1,4,42.7905797614776,intron
Tn,mmu-miR-466i-5p,Mmp16,1,7.03329483045536,intron
Tn,mmu-miR-466i-5p,Bach2,8,357.825867443934,"3' UTR,intron"
Tn,mmu-miR-142a-3p,Bach2,1,101.638539534253,intron
Tn,mmu-miR-466f-3p,Bach2,1,9.48412698412698,intron
Tn,mmu-miR-466i-5p,B4galt1,2,9.7019007696879,intron
Tn,mmu-miR-466i-5p,Dcaf12,1,16.7019122944929,3' UTR
Tn,mmu-miR-142a-5p,Rnf38,1,6.81318681318681,3' UTR
Tn,mmu-miR-466i-5p,Slc25a51,1,4.83267978352596,3' UTR
Tn,mmu-miR-466i-5p,Trim14,2,11.6184895908424,intron
Tn,mmu-miR-466i-5p,Tmeff1,1,5.41576476402273,intron
Tn,mmu-miR-466i-5p,Rgs3,1,3.40441176470588,intron
Tn,mmu-miR-466i-5p,Akna,2,36.5424207785724,"3' UTR,intron"
Tn,mmu-let-7a-5p,Akna,1,68.6296824757083,CDS
Tn,mmu-let-7d-5p,Akna,2,125.233426790454,CDS
Tn,mmu-miR-466i-5p,Rraga,2,19.6437531885842,3' UTR
Tn,mmu-miR-466i-5p,Pde4b,4,23.165175013516,intron
Tn,mmu-miR-142a-3p,Pde4b,1,4.89955745641391,3' UTR
Tn,mmu-miR-466i-5p,Nrd1,1,7.4403452133662,intron
Tn,mmu-miR-15b-5p,Rps8,1,6.5,ncRNA_exon
Tn,mmu-miR-103-3p,Rps8,1,15.2196594864755,ncRNA_exon
Tn,mmu-miR-150-5p,Nfyc,1,4.5,ncRNA_exon
Tn,mmu-miR-466i-5p,Inpp5b,1,3.71556941320793,intron
Tn,mmu-let-7b-5p,Laptm5,1,9.95402298850574,intron
